symboling,normalized-losses,width,height,engine-size,horsepower,city-mpg,highway-mpg,price,make,fuel-type,body-style,drive-wheels,engine-location,engine-type
3,150,65.7,49.6,80,135,16,23,15645,8,1,2,2,0,6
1,129,66.5,53.7,122,84,26,32,8845,8,1,2,1,0,3
0,115,66.5,55.5,122,84,26,32,8495,8,1,3,1,0,3
1,129,66.5,53.7,122,84,26,32,10595,8,1,2,1,0,3
0,115,66.5,55.5,122,84,26,32,10245,8,1,3,1,0,3
0,122,66.5,55.5,122,64,36,42,10795,8,0,3,1,0,3
0,115,66.5,55.5,122,84,26,32,11245,8,1,2,1,0,3
0,118,66.1,54.4,140,120,19,27,18280,8,1,3,2,0,3
0,122,66.1,54.4,134,72,31,39,18344,8,0,3,2,0,3
-1,93,70.3,56.5,183,123,22,25,25552,9,0,3,2,0,3
-1,93,70.3,58.7,183,123,22,25,28248,9,0,4,2,0,3
0,93,70.3,54.9,183,123,22,25,28176,9,0,1,2,0,3
-1,93,71.7,56.3,183,123,22,25,31600,9,0,3,2,0,3
-1,122,71.7,56.5,234,155,16,18,34184,9,1,3,2,0,5
3,142,70.5,50.8,234,155,16,18,35056,9,1,0,2,0,5
0,122,71.7,56.7,308,184,14,16,40960,9,1,3,2,0,5
1,122,72.0,55.4,304,184,14,16,45400,9,1,1,2,0,5
1,122,68.0,54.8,140,175,19,24,16503,10,1,2,2,0,3
2,161,64.4,50.8,92,68,37,41,5389,11,1,2,1,0,3
2,161,64.4,50.8,92,68,31,38,6189,11,1,2,1,0,3
2,161,64.4,50.8,92,68,31,38,6669,11,1,2,1,0,3
1,161,63.8,50.8,98,102,24,30,7689,11,1,2,1,0,3
3,153,65.4,49.4,110,116,23,30,9959,11,1,2,1,0,3
3,153,65.4,49.4,122,88,25,32,8499,11,1,2,1,0,3
3,122,66.3,50.2,156,145,19,24,12629,11,1,2,1,0,3
1,125,65.4,51.6,122,88,25,32,6989,11,1,3,1,0,3
1,125,65.4,51.6,122,88,25,32,8189,11,1,3,1,0,3
1,125,65.4,51.6,110,116,23,30,9279,11,1,3,1,0,3
-1,137,65.4,51.6,110,116,23,30,9279,11,1,3,1,0,3
1,128,63.8,54.5,97,69,31,37,5499,12,1,3,1,0,3
1,128,63.8,54.5,103,55,45,50,7099,12,0,3,1,0,3
1,128,63.8,54.5,97,69,31,37,6649,12,1,3,1,0,3
1,122,63.8,54.5,97,69,31,37,6849,12,1,3,1,0,3
1,103,63.8,53.5,97,69,31,37,7349,12,1,4,1,0,3
1,128,63.8,54.5,97,69,31,37,7299,12,1,3,1,0,3
1,128,63.8,53.3,97,69,31,37,7799,12,1,2,1,0,3
1,122,63.8,54.5,97,69,31,37,7499,12,1,3,1,0,3
1,103,63.8,53.5,97,69,31,37,7999,12,1,4,1,0,3
2,168,63.8,53.3,97,69,31,37,8249,12,1,1,1,0,3
0,106,65.2,54.7,120,97,27,34,8949,12,1,2,1,0,3
0,106,65.2,54.7,120,97,27,34,9549,12,1,3,1,0,3
0,128,66.5,55.1,181,152,17,22,13499,12,1,3,1,0,5
0,108,66.5,56.1,181,152,17,22,14399,12,1,4,1,0,5
0,108,66.5,55.1,181,152,19,25,13499,12,1,3,1,0,5
3,194,67.9,49.7,181,160,19,25,17199,12,1,2,2,0,5
3,194,67.9,49.7,181,200,17,23,19699,12,1,2,2,0,5
1,231,67.9,49.7,181,160,19,25,18399,12,1,2,2,0,5
0,161,68.4,56.7,120,97,19,24,11900,13,1,3,2,0,2
0,161,68.4,56.7,152,95,28,33,13200,13,0,3,2,0,2
0,122,68.4,58.7,120,97,19,24,12440,13,1,4,2,0,2
0,122,68.4,58.7,152,95,25,25,13860,13,0,4,2,0,2
0,161,68.4,56.7,120,95,19,24,15580,13,1,3,2,0,2
0,161,68.4,56.7,152,95,28,33,16900,13,0,3,2,0,2
0,122,68.4,56.7,120,95,19,24,16695,13,1,4,2,0,2
0,122,68.4,58.7,152,95,25,25,17075,13,0,4,2,0,2
0,161,68.4,56.7,120,97,19,24,16630,13,1,3,2,0,2
0,161,68.4,56.7,152,95,28,33,17950,13,0,3,2,0,2
0,161,68.3,56.0,134,142,18,24,18150,13,1,3,2,0,2
1,119,63.8,50.8,90,68,37,41,5572,14,1,2,1,0,3
1,119,63.8,50.8,98,102,24,30,7957,14,1,2,1,0,3
1,154,63.8,50.6,90,68,31,38,6229,14,1,2,1,0,3
1,154,63.8,50.8,90,68,31,38,6692,14,1,3,1,0,3
1,154,63.8,50.8,98,68,31,38,7609,14,1,3,1,0,3
-1,74,64.6,59.8,122,88,24,30,8921,14,1,4,1,0,3
3,186,68.3,50.2,151,143,19,27,22018,15,1,2,2,0,3
3,122,65.0,51.6,194,207,17,25,32528,15,1,1,2,1,4
3,122,65.0,51.6,194,207,17,25,34028,15,1,1,2,1,4
3,122,65.0,51.6,194,207,17,25,37028,15,1,0,2,1,4
1,122,72.3,50.5,203,288,17,28,12000,15,1,2,2,0,1
0,122,66.5,55.2,132,104,23,31,9295,16,1,4,1,0,3
2,122,66.6,50.5,132,104,23,31,9895,16,1,2,1,0,3
3,150,66.5,56.1,121,110,21,28,11850,17,1,2,1,0,3
2,104,66.5,56.1,121,110,21,28,12170,17,1,3,1,0,3
3,150,66.5,56.1,121,110,21,28,15040,17,1,2,1,0,3
2,104,66.5,56.1,121,110,21,28,15510,17,1,3,1,0,3
3,150,66.5,56.1,121,160,19,26,18150,17,1,2,1,0,0
2,104,66.5,56.1,121,160,19,26,18620,17,1,3,1,0,0
2,83,63.4,53.7,97,69,31,36,5118,18,1,2,1,0,4
2,83,63.6,53.7,108,73,26,31,7053,18,1,2,1,0,4
2,83,63.8,55.7,108,73,26,31,7603,18,1,2,0,0,4
0,102,65.4,52.5,108,82,32,37,7126,18,1,3,1,0,4
0,102,65.4,52.5,108,82,28,33,7775,18,1,3,1,0,4
0,102,65.4,52.5,108,94,26,32,9960,18,1,3,1,0,4
0,102,65.4,54.3,108,82,24,25,9233,18,1,3,0,0,4
0,102,65.4,54.3,108,111,24,29,11259,18,1,3,0,0,4
0,89,65.4,53.0,108,82,28,32,7463,18,1,4,1,0,4
0,89,65.4,53.0,108,94,25,31,10198,18,1,4,1,0,4
0,85,65.4,54.9,108,82,23,29,8013,18,1,4,0,0,4
0,85,65.4,54.9,108,111,23,23,11694,18,1,4,0,0,4
1,87,63.6,54.5,92,62,35,39,5348,19,1,2,1,0,3
1,87,63.6,54.5,92,62,31,38,6338,19,1,2,1,0,3
1,74,63.6,54.5,92,62,31,38,6488,19,1,2,1,0,3
0,77,63.6,59.1,92,62,31,37,6918,19,1,4,1,0,3
0,81,63.6,59.1,92,62,27,32,7898,19,1,4,0,0,3
0,91,63.6,59.1,92,62,27,32,8778,19,1,4,0,0,3
0,91,64.4,53.0,98,70,30,37,6938,19,1,3,1,0,3
0,91,64.4,52.8,98,70,30,37,7198,19,1,2,1,0,3
0,91,64.4,53.0,110,56,34,36,7898,19,0,3,1,0,3
0,91,64.4,52.8,110,56,38,47,7788,19,0,2,1,0,3
0,91,64.4,53.0,98,70,38,47,7738,19,1,3,1,0,3
0,91,64.4,52.8,98,70,28,34,8358,19,1,2,1,0,3
0,91,64.4,52.8,98,70,28,34,9258,19,1,3,1,0,3
1,168,64.0,52.6,98,70,29,34,8058,19,1,3,2,0,3
1,168,64.0,52.6,98,70,29,34,8238,19,1,2,2,0,3
1,168,64.0,52.6,98,112,26,29,9298,19,1,3,2,0,0
1,168,64.0,52.6,98,112,26,29,9538,19,1,2,2,0,0
2,134,65.6,52.0,146,116,24,30,8449,19,1,1,2,0,3
2,134,65.6,52.0,146,116,24,30,9639,19,1,1,2,0,3
2,134,65.6,52.0,146,116,24,30,9989,19,1,2,2,0,3
2,134,65.6,52.0,146,116,24,30,11199,19,1,1,2,0,3
2,134,65.6,52.0,146,116,24,30,11549,19,1,2,2,0,3
-1,65,66.5,54.9,122,92,29,34,8948,19,1,3,1,0,3
-1,65,66.5,54.9,110,73,30,33,10698,19,0,3,1,0,3
-1,65,66.5,53.9,122,92,27,32,9988,19,1,2,1,0,3
-1,65,66.5,54.9,122,92,27,32,10898,19,1,3,1,0,3
-1,65,66.5,53.9,122,92,27,32,11248,19,1,2,1,0,3
2,122,65.5,55.7,97,52,37,46,7775,20,0,3,1,0,3
2,122,65.5,55.7,109,85,27,34,7975,20,1,3,1,0,3
2,94,65.5,55.7,97,52,37,46,7995,20,0,3,1,0,3
2,94,65.5,55.7,109,85,27,34,8195,20,1,3,1,0,3
2,94,65.5,55.7,109,85,27,34,8495,20,1,3,1,0,3
2,94,65.5,55.7,97,68,37,42,9495,20,0,3,1,0,3
2,94,65.5,55.7,109,100,26,32,9995,20,1,3,1,0,3
3,122,64.2,55.6,109,90,24,29,11595,20,1,0,1,0,3
3,256,64.0,51.4,109,90,24,29,9980,20,1,2,1,0,3
0,122,66.9,55.1,136,110,19,24,13295,20,1,3,1,0,3
0,122,66.9,55.1,97,68,33,38,13845,20,0,3,1,0,3
0,122,66.9,55.1,109,88,25,31,12290,20,1,4,1,0,3
-2,103,67.2,56.2,141,114,23,28,12940,21,1,3,2,0,3
-1,74,67.2,57.5,141,114,23,28,13415,21,1,4,2,0,3
-2,103,67.2,56.2,141,114,24,28,15985,21,1,3,2,0,3
-1,74,67.2,57.5,141,114,24,28,16515,21,1,4,2,0,3
-2,103,67.2,56.2,130,162,17,22,18420,21,1,3,2,0,3
-1,74,67.2,57.5,130,162,17,22,18950,21,1,4,2,0,3
-1,95,68.9,55.5,141,114,23,28,16845,21,1,3,2,0,3
-1,95,68.8,55.5,141,160,19,25,19045,21,1,3,2,0,3
-1,95,68.9,55.5,173,134,18,23,21485,21,1,3,2,0,5
-1,95,68.9,55.5,145,106,26,27,22470,21,0,3,2,0,3
-1,95,68.9,55.5,141,114,19,25,22625,21,1,3,2,0,3
